,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
4740,31727,1,0,1,0,1,0,1,0,1,0,1,0
4750,31792,1,0,1,0,1,0,1,0,1,0,1,0
4752,31814,1,0,1,0,1,0,1,0,1,0,1,0
4757,31844,1,0,1,0,1,0,1,0,1,0,1,0
4792,32103,1,0,1,0,1,0,1,0,1,0,1,0
4815,32298,1,0,1,0,1,0,1,0,1,0,1,0
4853,32562,1,0,1,0,1,0,1,0,1,0,1,0
4859,32585,1,0,1,0,1,0,1,0,1,0,1,0
4875,32702,1,0,1,0,1,0,1,0,1,0,1,0
4877,32711,1,0,1,0,1,0,1,0,1,0,1,0
4903,32918,1,0,1,0,1,0,1,0,1,0,1,0
4909,32954,1,0,1,0,1,0,1,0,1,0,1,0
4925,33113,1,0,1,0,1,0,1,0,1,0,1,0
4945,33248,1,0,1,0,1,0,1,0,1,0,1,0
4950,33266,1,0,1,0,1,0,1,0,1,0,1,0
4975,33417,1,0,0,0,1,0,0,0,1,0,0,0
4984,33494,1,0,1,0,1,0,1,0,1,0,1,0
4987,33541,1,0,1,0,1,0,1,0,1,0,1,0
4998,33649,1,0,1,0,1,0,1,0,1,0,1,0
5002,33669,1,0,1,0,1,0,1,0,1,0,1,0
5010,33718,1,0,1,0,1,0,1,0,1,0,1,0
5025,33812,1,0,1,0,1,0,1,0,1,0,1,0
5037,33894,1,0,1,0,1,0,1,0,1,0,1,0
5052,33985,1,0,1,0,1,0,1,0,1,0,1,0
5055,34010,1,0,1,0,1,0,1,0,1,0,1,0
5076,34141,1,0,1,0,1,0,1,0,1,0,1,0
5083,34187,1,0,1,0,1,0,1,0,1,0,1,0
5092,34217,1,0,1,0,1,0,1,0,1,0,1,0
5094,34230,1,0,1,0,1,0,1,0,1,0,1,0
5105,34302,1,0,1,0,1,0,1,0,1,0,1,0
5117,34403,1,0,1,0,1,0,1,0,1,0,1,0
5141,34555,1,0,1,0,1,0,1,0,1,0,1,0
5145,34609,1,0,1,0,1,0,1,0,1,0,1,0
5159,34718,1,0,1,0,1,0,1,0,1,0,1,0
5160,34720,1,0,1,0,1,0,1,0,1,0,1,0
5163,34745,1,0,1,0,1,0,1,0,1,0,1,0
5181,34868,1,0,1,0,1,0,1,0,1,0,1,0
5194,34978,1,0,1,0,1,0,1,0,1,0,1,0
5214,35093,1,0,1,0,1,0,1,0,1,0,1,0
5215,35110,1,0,1,0,1,0,1,0,1,0,1,0
5220,35158,0,0,0,1,0,0,0,1,0,0,0,1
5223,35180,1,0,1,0,1,0,1,0,1,0,1,0
5232,35233,1,0,1,0,1,0,1,0,1,0,1,0
5234,35242,1,0,1,0,1,0,1,0,1,0,1,0
5245,35310,1,0,1,0,1,0,1,0,1,0,1,0
5259,35404,1,0,1,0,1,0,1,0,1,0,1,0
5274,35532,1,0,1,0,1,0,1,0,1,0,1,0
5286,35596,1,0,1,0,1,0,1,0,1,0,1,0
5293,35657,1,0,1,0,1,0,1,0,1,0,1,0
5304,35747,1,0,1,0,1,0,1,0,1,0,1,0
5311,35778,1,0,1,0,1,0,1,0,1,0,1,0
5314,35805,1,0,1,0,1,0,1,0,1,0,1,0
5344,36000,1,0,1,0,1,0,1,0,1,0,1,0
5345,36001,1,0,1,0,1,0,1,0,1,0,1,0
5365,36148,1,0,1,0,1,0,1,0,1,0,1,0
5368,36158,1,0,1,0,1,0,1,0,1,0,1,0
5375,36193,1,0,1,0,1,0,1,0,1,0,1,0
5435,36579,1,0,1,0,1,0,1,0,1,0,1,0
5455,36697,1,0,1,0,1,0,1,0,1,0,1,0
5467,36749,1,0,1,0,1,0,1,0,1,0,1,0
5493,36879,1,0,1,0,1,0,1,0,1,0,1,0
5521,37153,1,0,1,0,1,0,1,0,1,0,1,0
5530,37189,1,0,1,0,1,0,1,0,1,0,1,0
5538,37222,1,0,1,0,1,0,1,0,1,0,1,0
5556,37301,1,0,1,0,1,0,1,0,1,0,1,0
5574,37399,1,0,1,0,1,0,1,0,1,0,1,0
5588,37497,1,0,1,0,1,0,1,0,1,0,1,0
5636,37823,1,0,1,0,1,0,1,0,1,0,1,0
5638,37829,1,0,1,0,1,0,1,0,1,0,1,0
5669,38037,1,0,1,0,1,0,1,0,1,0,1,0
5686,38155,1,0,1,0,1,0,1,0,1,0,1,0
5741,38482,1,0,1,0,1,0,1,0,1,0,1,0
5760,38622,1,0,1,0,1,0,1,0,1,0,1,0
5771,38721,1,0,1,0,1,0,1,0,1,0,1,0
5775,38729,1,0,1,0,1,0,1,0,1,0,1,0
5801,38890,1,0,1,0,1,0,1,0,1,0,1,0
5802,38897,1,0,1,0,1,0,1,0,1,0,1,0
5839,39153,1,0,1,0,1,0,1,0,1,0,1,0
